deck_id,front_text,back_text,order_num,is_published
121,見る,"思う,関係を結ぶ,面倒を見る",1,true
121,見す,結婚させる,2,true
121,見ゆ,"見える・思われる,見せる,結婚する",3,true
121,かいまみる,のぞき見る,4,true
121,よばふ,"呼び続ける,求婚する",5,true
121,好く,風流を好む,6,true
121,わたる,"通る,いらっしゃる,～続ける,一面に",7,true
121,ありく,"出歩く,～しまわる,～続ける",8,true
121,おこなふ,仏道修行をする,9,true
121,なやむ,病気になる,10,true
121,おこたる,病気が治る,11,true
121,おくる,先立たれる,12,true
121,ながむ,"もの思いに沈む,口ずさむ",13,true
121,ときめく,"寵愛を受ける,栄える",14,true
121,かしづく,"大切に育てる,大切に世話をする",15,true
121,めづ,"愛する,感嘆する",16,true
121,おどろく,"目を覚ます,気づく",17,true
121,こうず,疲れる,18,true
121,おぼゆ,"思われる,思い出される,似る",19,true
121,聞こゆ,"聞こえる,評判になる,分かる",20,true
121,まもる・まぼる,見つめる,21,true
121,たのむ,"あてにする,あてにさせる",22,true
121,かづく,"かぶる,いただく,与える",23,true
121,ののしる,"大声で騒ぐ,評判になる,羽振りをきかす",24,true
121,やる,"送る,～きれない",25,true
121,いらふ,答える,26,true
121,にほふ,美しく映える,27,true
121,あきらむ,明らかにする,28,true
121,ねんず,がまんする,29,true
121,まうく,用意する,30,true
121,ゐる,"座る,～ている,連れる",31,true
121,具す,伴う・連れる・添える,32,true
121,経,"たつ,通る",33,true
121,さる,"避ける,なる",34,true
121,ものす,"する,いらっしゃる",35,true
121,ならふ,"慣れる,なじむ",36,true
121,しのぶ,"がまんする,人目につかないようにする,思い出す",37,true
121,わぶ,"困る・嘆く,～かねる",38,true
121,をかし,"すばらしい,滑稽だ",39,true
121,よろし,"悪くはない,普通だ",40,true
121,ありがたし,"めったにない,すばらしい",41,true
121,つきづきし,似つかわしい,42,true
121,なまめかし,"上品だ,若々しい",43,true
121,めでたし,すばらしい,44,true
121,うるはし,"きちんとしている,美しい",45,true
121,やむごとなし,"高貴だ,並々でない",46,true
121,おとなし,"思慮分別がある,主だっている",47,true
121,ゆかし,"見たい・聞きたい・知りたい,心ひかれる",48,true
121,なつかし,親しみ深い,49,true
121,はづかし,立派だ,50,true
121,こころにくし,奥ゆかしい,51,true
121,うつくし,かわいい,52,true
121,かなし,いとしい,53,true
121,らうたし,かわいい,54,true
121,めやすし,感じがよい,55,true
121,あやし,"不思議だ,身分が低い,粗末だ",56,true
121,さうざうし,もの足りない,57,true
121,つれなし,"平然としている,冷淡だ",58,true
121,なめし,無礼だ,59,true
121,おどろおどろし,"大げさだ,気味が悪い",60,true
121,憂し,つらい・いやだ,61,true
121,むつかし,"うっとうしい,気味が悪い",62,true
121,すさまじ,"興ざめだ,殺風景だ",63,true
121,びんなし,"不都合だ,気の毒だ",64,true
121,いとほし,気の毒だ,65,true
121,いはけなし,子どもっぽい,66,true
121,つらし,薄情だ,67,true
121,ところせし,窮屈だ,68,true
121,うしろめたし,気がかりだ,69,true
121,かたはらいたし,"きまり悪い,苦々しい,気の毒だ",70,true
121,わりなし,"ひどい,どうしようもない,苦しい",71,true
121,本意なし,残念だ,72,true
121,あさまし,"驚くほどだ,あきれるほどだ,情けない",73,true
121,めざまし,"気にくわない,すばらしい",74,true
121,いみじ,"すばらしい,ひどい,とても",75,true
121,ゆゆし,"不吉だ,すばらしい,はなはだしく",76,true
121,やさし,"優美だ・上品だ,殊勝だ",77,true
121,しるし[著し],"はっきりと分かる,～(の)とおりに",78,true
121,とし,早い,79,true
121,ゆくりなし,突然だ,80,true
121,おぼつかなし,"はっきりしない,気がかりだ,待ち遠しい",81,true
121,心もとなし,"かすかだ,不安だ,じれったい",82,true
121,あはれなり,しみじみと心に深く感じられる,83,true
121,つれづれなり,"退屈である,ものさびしい",84,true
121,すずろなり・そぞろなり,"なんということ(わけ)もない,思いがけない,むやみやたらだ",85,true
121,まめなり・まめやかなり,"まじめである,実用的である",86,true
121,あだなり,"はかない,浮気だ",87,true
121,いたづらなり,"役に立たない,むなしい",88,true
121,優なり,"優れている,優雅である",89,true
121,あてなり,"高貴である,上品である",90,true
121,あからさまなり,ほんのちょっと,91,true
121,みそかなり,ひそかに,92,true
121,おろかなり,"いい加減だ,並ひととおりだ,言い尽くせない",93,true
121,をこなり,"愚かだ,ばかばかしい",94,true
121,むげなり,"ひどい,ひどく",95,true
121,なかなかなり,"中途半端だ,かえってしないほうがよい・かえってないほうがましだ",96,true
121,手,"字,演奏法",97,true
121,文・書,"手紙,漢詩",98,true
121,消息,"手紙,訪問の申し入れ",99,true
121,あそび,管弦の遊び,100,true
122,うへ,"帝,奥様",101,true
122,おほやけ,"朝廷,帝",102,true
122,うち,"宮中,帝",103,true
122,御前,お側,104,true
122,みゆき,お出まし,105,true
122,たより,"よりどころ,つて,よい機会",106,true
122,物語,世間話,107,true
122,ためし,先例,108,true
122,いそぎ,準備,109,true
122,用意,気配り,110,true
122,かたち,容貌,111,true
122,かげ,"光,姿",112,true
122,けしき,"様子,機嫌,意向",113,true
122,こころざし,"愛情,お礼の贈り物",114,true
122,本意,かねてからの願い,115,true
122,こと,"言葉,和歌",116,true
122,わざ,"こと(事),葬儀",117,true
122,よろづ,"さまざま,何ごとにつけても",118,true
122,ことわり,道理,119,true
122,ひがこと・ひがごと,間違い,120,true
122,そらごと,嘘,121,true
122,しるし[験・徴],"効き目,ご利益,きざし",122,true
122,料,ため,123,true
122,禄,ほうび,124,true
122,としごろ,長年,125,true
122,つとめて,"早朝,翌朝",126,true
122,世・世の中,男女の仲・夫婦の仲,127,true
122,いかで・いかでか,"どうして,どうして,なんとかして",128,true
122,いかが・いかに,"どのように・どうして,どうして,どんなにか",129,true
122,など・などか・などて・なじかは,どうして,130,true
122,いつしか,"いつの間にか,早く",131,true
122,おのづから,"たまたま,もしかして",132,true
122,なほ,なんといってもやはり・それでもやはり,133,true
122,いとど,ますます,134,true
122,げに,本当に,135,true
122,かく,このように,136,true
122,さ,そのように,137,true
122,しか,そのように,138,true
122,と,あのように,139,true
122,やがて,"そのまま,すぐに",140,true
122,すなはち,すぐに,141,true
122,やうやう,しだいに,142,true
122,やをら・やはら,そっと,143,true
122,なかなか(に),かえって,144,true
122,さすがに,"そうはいってもやはり,なんといってもやはり",145,true
122,かたみに,互いに,146,true
122,うたて,"いやな感じに,異様に怪しく",147,true
122,なべて,"一般に,並ひととおり",148,true
122,わざと,"わざわざ,特に,正式な",149,true
122,あまた,たくさん,150,true
122,ここら・そこら,"たくさん,たいそう",151,true
122,え(～打消),ことができない,152,true
122,な～そ,な・てはならない,153,true
122,おほかた(～打消),まったく,154,true
122,さらに(～打消),まったく,155,true
122,世に(～打消),"まったく,実に",156,true
122,たえて(～打消),まったく,157,true
122,つゆ(～打消),少しも,158,true
122,ゆめ・ゆめゆめ(～打消・禁止),決して,159,true
122,つやつや(～打消),まったく,160,true
122,をさをさ(～打消),ほとんど,161,true
122,よも(～打消推量),まさか,162,true
122,あなかしこ(～禁止),決して,163,true
122,ためらふ,気持ちを静める,164,true
122,やすらふ,"ためらう,立ち止まる",165,true
122,かたらふ,"語り合う,親しく交際する,契る,説得する",166,true
122,住む,通う,167,true
122,やむ,終わる,168,true
122,うつろふ,色あせる,169,true
